사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-05,2호선,0227,낙성대(강감찬),33,2,11696,2170,27465,10899,80792,21395,127985,40756,80893,36231,44428,30365,38439,25463,42161,28275,41487,30171,37144,30607,36744,36679,43126,43572,48864,59943,51868,98221,30357,87142,23869,55618,22719,54229,18076,55486,7876,35358,14,3873,0,0,0,0,0,0
2022-05,2호선,0228,서울대입구(관악구청),3970,17,29156,2716,45461,16657,128918,33125,183240,73215,121958,69781,69854,61144,62797,48962,70540,54488,70643,59709,65813,59376,70802,67635,78092,77154,90603,108659,96179,177476,59649,148288,50329,88937,51734,83446,47615,85884,19761,56518,8,19093,0,0,0,0,0,0
2022-05,2호선,0229,봉천,51,2,15921,1505,29228,7679,81302,12889,123526,27156,74033,20538,41345,19119,33788,19500,35013,22973,34323,25051,29737,26154,28738,35086,31722,41352,30710,52941,33241,84362,20139,72536,15942,44122,13881,43270,10970,41712,3717,27566,5,1369,0,0,0,0,0,0
2022-05,2호선,0230,신림,325,37,42488,4794,81788,23725,212028,37816,323248,64939,192773,53966,104190,47869,87632,50057,91782,58008,86647,64509,77096,69665,76438,88088,84188,110787,91892,146582,95132,252704,61514,229265,52140,141584,47487,135631,43373,126933,19360,90247,47,3940,0,0,0,0,0,0
2022-05,2호선,0231,신대방,121,4,26212,2156,38243,10177,92288,21712,137901,32746,83452,23165,48292,19548,38575,20756,38529,23148,36955,26350,31457,29293,31000,40783,34233,47673,38338,64153,42007,98542,24594,85940,18684,56063,14264,60067,11324,56869,4726,38417,10,1208,1,1,0,0,0,0
2022-05,2호선,0232,구로디지털단지,246,25,40300,5978,54742,22318,134892,87519,185427,252361,113552,143712,66697,54870,60209,43454,64762,45645,64155,55393,58486,54986,61902,64700,76028,79044,128824,104738,226981,162793,107730,133459,65367,84858,55543,83475,45664,79805,17039,57010,40,2410,0,0,0,0,0,0
2022-05,2호선,0233,대림(구로구청),640,55,35666,3759,33676,11455,68787,24076,96899,55225,64203,34587,37971,30024,32107,30886,33957,29868,33005,33016,30489,32123,31889,40194,36242,48451,44186,63010,52406,72384,27687,57054,20657,39249,15647,46994,11842,46429,5026,26030,9,2032,1,1,0,0,0,0
2022-05,2호선,0234,신도림,3925,58,34686,5359,52542,23237,136625,41633,142680,111909,89971,64669,61631,61768,59394,60935,67683,63924,68922,69043,67887,64203,72240,72637,82543,86298,99048,111929,124204,178291,71349,127622,61903,74583,64929,71190,50597,71958,21002,65597,89,20424,0,1,1,1,0,0
2022-05,2호선,0235,문래,9,0,3937,2482,13729,14500,43547,36169,49611,122410,27867,58687,20656,27923,20750,23533,24709,24740,26106,25973,25157,24565,28169,25681,36615,29214,57843,37223,103125,57929,36762,41946,25811,21677,27045,20005,22200,17580,9990,12658,16,1257,1,1,0,0,0,0
2022-05,2호선,0236,영등포구청,53,0,5780,3371,12796,15755,39090,38423,47051,127098,29122,56335,23018,27087,24592,25092,26913,24777,27267,26491,28726,25018,31733,25395,36056,28902,52612,35560,104051,55215,35724,37549,27197,22417,25492,20221,19768,19003,7925,15668,21,1570,0,0,0,0,0,0
2022-05,2호선,0237,당산,27,0,6960,3157,17483,13713,46724,30382,58404,77288,36602,35623,25488,20003,24919,19343,25396,21327,25156,24132,23043,24084,24257,27374,29489,34280,43438,46942,62140,77454,28379,53337,22625,33465,22402,32859,19951,30861,8241,24349,20,1724,0,0,0,0,0,0
2022-05,2호선,0238,합정,95,3,10447,3080,19045,15178,45801,33089,58016,96659,38118,87193,28326,50956,30286,52341,36463,54459,40772,60114,42868,54778,46739,55034,55528,64229,73579,81043,116403,116516,76807,79519,62754,42351,69478,34560,68468,30879,30775,24001,43,1835,0,1,0,0,0,0
2022-05,2호선,0239,홍대입구,1186,34,30020,3966,30967,17507,62647,38187,81267,106889,53875,133094,40956,92049,48846,111954,63726,131364,73352,143687,81959,136751,102290,135816,131184,144408,162439,172797,186038,222200,144786,154892,145314,84981,170936,66654,181686,57398,77985,45121,493,9757,1,1,0,0,0,0
2022-05,2호선,0240,신촌,82,6,8615,3330,15428,14840,36074,35581,53290,81403,36850,91299,36089,61324,42245,56373,53555,62072,55330,68785,57199,61466,66088,56472,79089,62135,94433,81991,94652,110844,64495,74115,67369,41587,72345,36828,76708,33400,33080,25884,38,1100,0,0,0,0,0,0
2022-05,2호선,0241,이대,36,0,3882,1084,8989,8047,25788,13162,34299,36876,20532,35012,15929,26710,18017,21307,23617,24208,23544,27507,22413,23166,26628,21949,31703,24702,41486,29172,37553,41125,22543,29580,19409,19161,18282,19281,15998,20153,5182,16753,4,585,0,1,0,0,0,0
2022-05,2호선,0242,아현,50,0,4842,1019,11506,7727,29182,13498,39368,23164,23830,12774,16380,10842,15732,10613,17002,12655,15916,12869,14780,14516,16622,15191,24238,17573,21782,22840,21327,32018,12761,24390,9193,16463,7509,16213,5818,15456,2074,10825,1,344,0,0,0,0,0,0
2022-05,2호선,0243,충정로(경기대입구),22,0,3080,1119,6787,7196,16012,23305,22003,58800,14082,28023,10653,13279,11549,11042,12217,10954,12975,12893,13099,11762,14686,12126,17807,12629,27752,15925,46962,21323,14533,14787,9447,10115,9680,9896,7521,9141,3080,7390,10,469,0,0,0,0,0,0
2022-05,2호선,0244,용답,3,0,2655,231,3451,1439,8119,1958,13031,4413,7564,7531,4788,3852,4359,3237,5330,3604,4996,5380,4403,3605,4884,4211,7141,5891,6809,7046,4761,10492,2876,7434,2164,5120,1520,5848,1427,5713,563,4113,0,4,0,0,0,0,0,0
2022-05,2호선,0245,신답,4,0,1114,121,2168,545,6615,1020,10708,1630,4913,1075,2606,1086,2237,1273,2308,1446,2153,1700,1928,1846,1793,2571,1993,3615,2252,4464,2357,9188,1254,7270,716,3412,608,3854,492,3215,163,2700,0,24,0,0,0,0,0,0
2022-05,2호선,0246,신설동,38,2,1242,316,1511,1893,4347,5188,7900,12306,4942,8934,4374,8162,5403,7525,6861,7198,7749,7274,8203,6446,9032,5825,9454,4967,10804,5519,13108,6380,4810,4853,3083,3192,2504,3026,2140,2855,739,2316,7,294,0,0,0,0,0,0
2022-05,2호선,0247,도림천,0,0,291,371,1246,911,3382,4546,3549,5947,2048,2347,1749,1507,1723,1310,2296,1965,1637,1496,2056,1930,2446,1569,3811,1804,2928,2083,3604,2922,1866,2483,919,1589,827,1465,508,1166,183,961,0,95,0,0,0,0,0,0
